 Mobile Number  ,name, State  , Telephone  , City  , Email  , Telephone 2  , Country  , Address  , Website 
 9818295209 , Akash Foundation Society,Delhi, 011-24225465 , Delhi , airzoneinternational.india@gmail.com ,, India ," B-9 , CHRISTIAN COLONY , PATEL CHEST , DELHI-110007", NO website is listed 
 09958421063 , Charan Singh Educational Society Society,Delhi, 011-27781072 , Narela , ccspindia@gmail.com ,, India , ccsp ( Ch. Charan Singh Polytechnic) Police Station Road Near Ragunath Mandir, http://www.ccspindia.com
 9210321275 , Care One Welfare Society Society,Delhi,India,, cowsngo@gmail.com ,, India ," B- 139 3rd, Floor, Gharoli Dairy Colony, Mayur Vihar Phase III, New Delhi - 110096", NO website is listed 
 9711158224 , Hrla Trust,Delhi, 011-27666663 , North Delhi , hrlawa@gmail.com , 9711158224 , India ," B-3/13,christian colony,patel chest,University Of Delhi Delhi 110007", http://hrlawa.webs.com
 9310470094 , Sanyam Society,Delhi, 011-28520355 , New Delhi , harikeshaiims@rediffmail.com ,, India ," Regd. Office : WZ1391A/1, Nangal Raya, New Delhi-110046 Contact person: Raj Sharma", http://www.sanyam.in
 09818266315 , Society For Culture And Social Upliftment Society,Delhi, 011-25623941 , New Delhi , scsu06@gmail.com ,, India ," B-136, Nasirpur Colony, Near Indira Gandhi Library, New Delhi-110059", NO website is listed 
 9718529515 , Aa Annpurna Youth Society Society,Delhi, 011-27282120 , Narela , azadmac.acet@gmail.com ,, India , house no .2778 gali no 26b sawtantra nagar narela delhi 110040, NO website is listed 
 9953574659 , Aadarsh Mahila Kalyan Samiti Society,Delhi, 011-28012307 , New Delhi , snehayadav96@yahoo.com ,, India ," G-61, Jai Vihar Extn. Baprola, Najafgarh, New Delhi-110043", NO website is listed 
 9015352670 , Aadharshila Lok Kalyan Samiti Society,Delhi, 011-90153526 , Delhi , aadharshilalokkalyansamiti@gmail.com ,, India ," C-12/436, YAMUNA VIHAR, DELHI-110053", http://www.aadharshilalokkalyansamiti.in
 9212126185 , Aahwaan Trust,Delhi, 011-65165657 , New Delhi , aahwaanindia@gmail.com ,, India ," AAHWAAN, 246-A FIRST FLOOR OPP VASANT VIHAR BUS DEPOT, NELSON MANDELA MARG, NEW DELHI -110067", http://aahwaan.org
 9968032100 , Aaj Sawera Society Society,Delhi, 011-27631070 , Delhi , aajsawera2009@gmail.com ,, India ," K-523/524, Jahangirpuri, Delhi-110033", NO website is listed 
 9718501391 , Aakansha Samiti Society,Delhi, 011-65492845 , Delhi , balwant_aakansha_samiti@yahoo.com ,, India ," E-437, Raghubir Nagar New Delhi - 110027", NO website is listed 
 9810052406 , Aakar Kala Sangam Society,Delhi, 011-26914622 , Delhi , sb@akstheatre.com ,, India ," K-37, FIRST FLOOR,SRINIWASPURI, NEW DELHI-110065", http://www.akstheatre.com
 9891156937 , Aakhil Bhartiya Anyay Virodhi Parishad Society,Delhi, 011-22304481 , Delhi , aiaic.newdelhi@gmail.com ,, India , 499/4 Chandan Bari Bhola Nath Nagar Shahdara Delhi 110032, NO website is listed 
 9650060000 , Aaks Foundation Society,Delhi, 011-41427542 , Delhi , aaksfoundation@gmail.com ,, India ," E BLOCK , HOUSE NO-4, STREET NO-13 , DAYALPUR 33 FUTA ROAD DELHI -110094", http://www.aaksfoundation.org
 09811007072 , Aanchal Akhil Bhartiya Jan Kalyan Sanstha Society,Delhi, 011-27853345 , Delhi , aanchal_dahiya@yahoo.com , 09811007072 , India ," A-6/104, Sector-18, Rohini, Delhi-110085", NO website is listed 
